,,,"Программирование и алгоритмизация (Лекционные)
Стучилин В. В.",Л-746,"Программирование и алгоритмизация (Лекционные)
Стучилин В. В.",Л-746,"Программирование и алгоритмизация (Лекционные)
Стучилин В. В.",Л-746,"Программирование и алгоритмизация (Лекционные)
Стучилин В. В.",Л-746,"Программирование и алгоритмизация (Лекционные)
Стучилин В. В.",Л-746,"Программирование и алгоритмизация (Лекционные)
Стучилин В. В.",Л-746,"Программирование и алгоритмизация (Лекционные)
Стучилин В. В.",Л-746,"Программирование и алгоритмизация (Лекционные)
Стучилин В. В.",Л-746,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",А-308,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",А-308,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",А-308,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",А-308,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",А-308,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",А-308,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",А-308,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",А-308,"Математика (Практические)
Бортаковский А. С.",Г-327,"Математика (Практические)
Бортаковский А. С.",Г-327,,,,,,,,,"Математика (Практические)
Сметюхова А. В.",А-512,"Математика (Практические)
Сметюхова А. В.",А-512,,,,,"Математика (Практические)
Бугаевская А. Н.",А-511,"Математика (Практические)
Бугаевская А. Н.",А-511,"Математика (Практические)
Вакансия 5 К. .",А-304,"Математика (Практические)
Вакансия 5 К. .",А-304,"Математика (Практические)
Вакансия 5 К. .",А-509,"Математика (Практические)
Вакансия 5 К. .",А-509,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",А-308,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",А-308,"Введение в специальность (Практические)
",Г-562,"Введение в специальность (Практические)
",Г-562,"1, 2 п.г. Программирование и алгоритмизация (Лабораторные)
Полевой Д. В.","Б-804-УВЦ, Б-805-УВЦ","1, 2 п.г. Программирование и алгоритмизация (Лабораторные)
Полевой Д. В.","Б-804-УВЦ, Б-805-УВЦ","История России (Практические)
Аристов А. В.",А-524,"История России (Практические)
Аристов А. В.",А-524,"Математика (Практические)
Плужникова Е. Л.",Л-633,"Математика (Практические)
Плужникова Е. Л.",Л-633,,,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
Крынецкая Г. С.",Б-901,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Введение в специальность (Лекционные)
Куликовский М. А.",Б-934,"Введение в специальность (Лекционные)
Куликовский М. А.",Б-934,"Введение в специальность (Лекционные)
Куликовский М. А.",Б-934,"Введение в специальность (Лекционные)
Куликовский М. А.",Б-934,"Введение в специальность (Лекционные)
Куликовский М. А.",Б-934,"Введение в специальность (Лекционные)
Куликовский М. А.",Б-934,"Введение в специальность (Лекционные)
Куликовский М. А.",Б-934,"Введение в специальность (Лекционные)
Куликовский М. А.",Б-934
,4,14:30:00 - 16:05:00,"Введение в специальность (Лекционные)
Вакансия 1 К. .",К-212,"Введение в специальность (Лекционные)
Вакансия 1 К. .",К-212,"Введение в специальность (Лекционные)
Вакансия 1 К. .",К-212,"Введение в специальность (Лекционные)
Вакансия 1 К. .",К-212,"Введение в специальность (Лекционные)
Вакансия 1 К. .",К-212,"Введение в специальность (Лекционные)
Вакансия 1 К. .",К-212,"Введение в специальность (Лекционные)
Вакансия 1 К. .",К-212,"Введение в специальность (Лекционные)
Вакансия 1 К. .",К-212,"Математика (Практические)
Чикалова А. В.",А-510,"Математика (Практические)
Чикалова А. В.",А-510,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Мурадханов С. Э.",Л-542,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Мурадханов С. Э.",Л-542,"Математика (Практические)
Сметюхова А. В.",А-511,"Математика (Практические)
Сметюхова А. В.",А-511,,,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
Андреев С. Д.",Б-901,,,,,,,,,,,,,,,,,,,,,"Математика (Практические)
Бугаевская А. Н.",А-304,"Математика (Практические)
Бугаевская А. Н.",А-304,"Введение в специальность (Практические)
",А-517,"Введение в специальность (Практические)
",А-517,"История России (Практические)
Вакансия 5 К. .",К-524,"История России (Практические)
Вакансия 5 К. .",К-524,,,,,"История России (Практические)
Аристов А. В.",А-509,"История России (Практические)
Аристов А. В.",А-509,"Основы российской государственности (Практические)
Вакансия 8 К. .",А-522,"Основы российской государственности (Практические)
Вакансия 8 К. .",А-522,"Математика (Практические)
Плужникова Е. Л.",Л-633,"Математика (Практические)
Плужникова Е. Л.",Л-633,"1, 2 п.г. Программирование и алгоритмизация (Лабораторные)
Полевой Д. В.","Б-804-УВЦ, Б-805-УВЦ","1, 2 п.г. Программирование и алгоритмизация (Лабораторные)
Полевой Д. В.","Б-804-УВЦ, Б-805-УВЦ","Введение в специальность (Практические)
Бакулев К. С.",А-513,"Введение в специальность (Практические)
Бакулев К. С.",А-513,,,,,"Математика (Практические)
Ногинова Л. Ю.",Л-631,"Математика (Практические)
Ногинова Л. Ю.",Л-631,,,,,,,,,,,,,,,,,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Кружкова Г. В.",Б-904а,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Кружкова Г. В.",Б-904а,,,,
,,,,,,,,,,,,,,,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Парфенова Е. В.",Л-948,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Стучилин В. В.",Л-948,"Математика (Практические)
Чикалова А. В.",А-510,"Математика (Практические)
Чикалова А. В.",А-510,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
Андреев С. Д.",Б-901,,,"Математика (Практические)
Сметюхова А. В.",А-511,"Математика (Практические)
Сметюхова А. В.",А-511,,,,,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Вакансия 1 К. .",Л-542,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Вакансия 1 К. .",Л-542,,,,,,,,,,,,,,,,,"Математика (Практические)
Бугаевская А. Н.",А-512,"Математика (Практические)
Бугаевская А. Н.",А-512,,,,,"Введение в специальность (Практические)
",А-422,"Введение в специальность (Практические)
",А-422,,,,,"Математика (Практические)
Данченков И. В.",А-321,"Математика (Практические)
Данченков И. В.",А-321,"Основы российской государственности (Практические)
Вакансия 8 К. .",А-522,"Основы российской государственности (Практические)
Вакансия 8 К. .",А-522,"Математика (Практические)
Плужникова Е. Л.",Л-634,"Математика (Практические)
Плужникова Е. Л.",Л-634,"История России (Практические)
Аристов А. В.",А-517,"История России (Практические)
Аристов А. В.",А-517,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-524,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-524,,,,,"Математика (Практические)
Ногинова Л. Ю.",Л-629,"Математика (Практические)
Ногинова Л. Ю.",Л-629,,,,,,,,,,,,,,,,,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Кружкова Г. В.",Б-904а,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Кружкова Г. В.",Б-904а,,,,
,5,16:20:00 - 17:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"История России (Лекционные)
Аристов А. В.",Б-3,"История России (Лекционные)
Аристов А. В.",Б-3,"История России (Лекционные)
Аристов А. В.",Б-3,"История России (Лекционные)
Аристов А. В.",Б-3,"История России (Лекционные)
Аристов А. В.",Б-3,"История России (Лекционные)
Аристов А. В.",Б-3,"История России (Лекционные)
Аристов А. В.",Б-3,"История России (Лекционные)
Аристов А. В.",Б-3,"История России (Лекционные)
Аристов А. В.",Б-3,"История России (Лекционные)
Аристов А. В.",Б-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"История России (Лекционные)
Аристов А. В.",Б-3,"История России (Лекционные)
Аристов А. В.",Б-3,"История России (Лекционные)
Аристов А. В.",Б-3,"История России (Лекционные)
Аристов А. В.",Б-3,"История России (Лекционные)
Аристов А. В.",Б-3,"История России (Лекционные)
Аристов А. В.",Б-3,"История России (Лекционные)
Аристов А. В.",Б-3,"История России (Лекционные)
Аристов А. В.",Б-3,"История России (Лекционные)
Аристов А. В.",Б-3,"История России (Лекционные)
Аристов А. В.",Б-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,18:00:00 - 19:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,19:35:00 - 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Четверг,1,09:00:00 - 10:35:00,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,,,,,"Введение в специальность (Практические)
",А-328,"Введение в специальность (Практические)
",А-328,"Математика (Практические)
Алексенцев Ю. М.",А-512,"Математика (Практические)
Алексенцев Ю. М.",А-512,,,,,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,,,,,"История России (Лекционные)
Аристов А. В.",Б-734,"История России (Лекционные)
Аристов А. В.",Б-734,"История России (Лекционные)
Аристов А. В.",Б-734,"История России (Лекционные)
Аристов А. В.",Б-734,"История России (Лекционные)
Аристов А. В.",Б-734,"История России (Лекционные)
Аристов А. В.",Б-734,"История России (Лекционные)
Аристов А. В.",Б-734,"История России (Лекционные)
Аристов А. В.",Б-734,"История России (Лекционные)
Аристов А. В.",Б-734,"История России (Лекционные)
Аристов А. В.",Б-734,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-831,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-831,,,,,,,,,,,,,"Математика (Лекционные)
Вакансия 8 К. .",Л-740,"Математика (Лекционные)
Вакансия 8 К. .",Л-740,"Математика (Лекционные)
Вакансия 8 К. .",Л-740,"Математика (Лекционные)
Вакансия 8 К. .",Л-740,"Математика (Лекционные)
Вакансия 8 К. .",Л-740,"Математика (Лекционные)
Вакансия 8 К. .",Л-740,"Математика (Лекционные)
Вакансия 8 К. .",Л-740,"Математика (Лекционные)
Вакансия 8 К. .",Л-740
,,,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,,,,,,,,,,,,,,,,,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,,,,,,,,,"Основы российской государственности (Практические)
Вакансия 8 К. .",К-527,"Основы российской государственности (Практические)
Вакансия 8 К. .",К-527,"Математика (Практические)
Сметюхова А. В.",А-517,"Математика (Практические)
Сметюхова А. В.",А-517,,,,,,,,,"Введение в специальность (Практические)
Белых П. В.",Б-434,"Введение в специальность (Практические)
Белых П. В.",Б-434,,,,,"Математика (Практические)
Ногинова Л. Ю.",Л-633,"Математика (Практические)
Ногинова Л. Ю.",Л-633,"История России (Практические)
Вакансия 1 К. .",К-519,"История России (Практические)
Вакансия 1 К. .",К-519,"Математика (Лекционные)
Вакансия 8 К. .",Л-740,"Математика (Лекционные)
Вакансия 8 К. .",Л-740,"Математика (Лекционные)
Вакансия 8 К. .",Л-740,"Математика (Лекционные)
Вакансия 8 К. .",Л-740,"Математика (Лекционные)
Вакансия 8 К. .",Л-740,"Математика (Лекционные)
Вакансия 8 К. .",Л-740,"Математика (Лекционные)
Вакансия 8 К. .",Л-740,"Математика (Лекционные)
Вакансия 8 К. .",Л-740
,2,10:50:00 - 12:25:00,"История России (Лекционные)
Каюмов А. Т.",Б-734,"История России (Лекционные)
Каюмов А. Т.",Б-734,"История России (Лекционные)
Каюмов А. Т.",Б-734,"История России (Лекционные)
Каюмов А. Т.",Б-734,"История России (Лекционные)
Каюмов А. Т.",Б-734,"История России (Лекционные)
Каюмов А. Т.",Б-734,"История России (Лекционные)
Каюмов А. Т.",Б-734,"История России (Лекционные)
Каюмов А. Т.",Б-734,,,,,"Математика (Практические)
Алексенцев Ю. М.",А-512,"Математика (Практические)
Алексенцев Ю. М.",А-512,"Математика (Практические)
Сметюхова А. В.",А-304,"Математика (Практические)
Сметюхова А. В.",А-304,,,,,"Математика (Практические)
Лёвшина Г. Д.",А-312,"Математика (Практические)
Лёвшина Г. Д.",А-312,"Математика (Практические)
Шелепова Е. В.",Г-325,"Математика (Практические)
Шелепова Е. В.",Г-325,"Математика (Практические)
Вакансия 3 К. .",А-526,"Математика (Практические)
Вакансия 3 К. .",А-526,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-524,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-524,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Л-550,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Л-550,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Л-550,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Л-550,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Л-550,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Л-550,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Л-550,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Л-550,,,,,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Ногинова Л. Ю.",Л-740,"Математика (Лекционные)
Ногинова Л. Ю.",Л-740,"Математика (Лекционные)
Ногинова Л. Ю.",Л-740,"Математика (Лекционные)
Ногинова Л. Ю.",Л-740,"Математика (Лекционные)
Ногинова Л. Ю.",Л-740,"Математика (Лекционные)
Ногинова Л. Ю.",Л-740,"Математика (Лекционные)
Ногинова Л. Ю.",Л-740,"Математика (Лекционные)
Ногинова Л. Ю.",Л-740,"Математика (Практические)
Вакансия 8 К. .",А-524,"Математика (Практические)
Вакансия 8 К. .",А-524,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Алтунян А. В.",Г-525,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Алтунян А. В.",Г-525,"Математика (Практические)
Вакансия 9 К. .",А-510,"Математика (Практические)
Вакансия 9 К. .",А-510,"Математика (Практические)
Вакансия 9 К. .",А-422,"Математика (Практические)
Вакансия 9 К. .",А-422
,,,"Введение в специальность (Практические)
",А-522,"Введение в специальность (Практические)
",А-522,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-827,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-827,"Введение в специальность (Практические)
",К-511,"Введение в специальность (Практические)
",К-511,"Математика (Практические)
Сметюхова А. В.",А-526,"Математика (Практические)
Сметюхова А. В.",А-526,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Мурадханов С. Э.","Б-819-УВЦ, Б-825-УВЦ","1 п.г. Программирование и алгоритмизация (Лабораторные)
Мурадханов С. Э.","Б-819-УВЦ, Б-825-УВЦ","Математика (Практические)
Алексенцев Ю. М.",А-512,"Математика (Практические)
Алексенцев Ю. М.",А-512,,,,,,,,,"Математика (Практические)
Лёвшина Г. Д.",А-304,"Математика (Практические)
Лёвшина Г. Д.",А-304,"История России (Практические)
Вакансия 4 К. .",К-526,"История России (Практические)
Вакансия 4 К. .",К-526,"Математика (Практические)
Вакансия 3 К. .",К-513,"Математика (Практические)
Вакансия 3 К. .",К-513,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-524,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-524,"Введение в специальность (Лекционные)
Вакансия 1 К. .",К-421,"Введение в специальность (Лекционные)
Вакансия 1 К. .",К-421,"Введение в специальность (Лекционные)
Вакансия 1 К. .",К-421,"Введение в специальность (Лекционные)
Вакансия 1 К. .",К-421,"Введение в специальность (Лекционные)
Вакансия 1 К. .",К-421,"Введение в специальность (Лекционные)
Вакансия 1 К. .",К-421,"Введение в специальность (Лекционные)
Вакансия 1 К. .",К-421,"Введение в специальность (Лекционные)
Вакансия 1 К. .",К-421,,,,,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Ногинова Л. Ю.",Л-740,"Математика (Лекционные)
Ногинова Л. Ю.",Л-740,"Математика (Лекционные)
Ногинова Л. Ю.",Л-740,"Математика (Лекционные)
Ногинова Л. Ю.",Л-740,"Математика (Лекционные)
Ногинова Л. Ю.",Л-740,"Математика (Лекционные)
Ногинова Л. Ю.",Л-740,"Математика (Лекционные)
Ногинова Л. Ю.",Л-740,"Математика (Лекционные)
Ногинова Л. Ю.",Л-740,"Математика (Практические)
Вакансия 8 К. .",А-524,"Математика (Практические)
Вакансия 8 К. .",А-524,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Алтунян А. В.",Г-525,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Алтунян А. В.",Г-525,"Математика (Практические)
Вакансия 9 К. .",А-507,"Математика (Практические)
Вакансия 9 К. .",А-507,"Математика (Практические)
Вакансия 9 К. .",А-422,"Математика (Практические)
Вакансия 9 К. .",А-422
,3,12:40:00 - 14:15:00,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-538,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-538,,,,,"История России (Практические)
Каюмов А. Т.",А-328,"История России (Практические)
Каюмов А. Т.",А-328,"Математика (Практические)
Сметюхова А. В.",А-526,"Математика (Практические)
Сметюхова А. В.",А-526,"Программирование и алгоритмизация (Лекционные)
Мурадханов С. Э.",Б-934,"Программирование и алгоритмизация (Лекционные)
Мурадханов С. Э.",Б-934,"Программирование и алгоритмизация (Лекционные)
Мурадханов С. Э.",Б-934,"Программирование и алгоритмизация (Лекционные)
Мурадханов С. Э.",Б-934,"Программирование и алгоритмизация (Лекционные)
Мурадханов С. Э.",Б-934,"Программирование и алгоритмизация (Лекционные)
Мурадханов С. Э.",Б-934,"Программирование и алгоритмизация (Лекционные)
Мурадханов С. Э.",Б-934,"Программирование и алгоритмизация (Лекционные)
Мурадханов С. Э.",Б-934,"История России (Лекционные)
Вакансия 5 К. .",А-308,"История России (Лекционные)
Вакансия 5 К. .",А-308,"История России (Лекционные)
Вакансия 5 К. .",А-308,"История России (Лекционные)
Вакансия 5 К. .",А-308,"История России (Лекционные)
Вакансия 5 К. .",А-308,"История России (Лекционные)
Вакансия 5 К. .",А-308,"История России (Лекционные)
Вакансия 5 К. .",А-308,"История России (Лекционные)
Вакансия 5 К. .",А-308,"Математика (Практические)
Данченков И. В.",Г-311,"Математика (Практические)
Данченков И. В.",Г-311,"История России (Практические)
Вакансия 5 К. .",А-510,"История России (Практические)
Вакансия 5 К. .",А-510,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-525,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-525,"Математика (Практические)
Вакансия 6 К. .",А-312,"Математика (Практические)
Вакансия 6 К. .",А-312,"Программирование и алгоритмизация (Лекционные)
Мурадханов С. Э.",Б-934,"Программирование и алгоритмизация (Лекционные)
Мурадханов С. Э.",Б-934,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-517,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-517,"Математика (Практические)
Плужникова Е. Л.",Л-631,"Математика (Практические)
Плужникова Е. Л.",Л-631,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-522,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-522,"Математика (Практические)
Шелепова Е. В.",Л-634,"Математика (Практические)
Шелепова Е. В.",Л-634,"Математика (Практические)
Ногинова Л. Ю.",Л-633,"Математика (Практические)
Ногинова Л. Ю.",Л-633,"История России (Лекционные)
Вакансия 7 К. .",Л-550,"История России (Лекционные)
Вакансия 7 К. .",Л-550,"История России (Лекционные)
Вакансия 7 К. .",Л-550,"История России (Лекционные)
Вакансия 7 К. .",Л-550,"История России (Лекционные)
Вакансия 7 К. .",Л-550,"История России (Лекционные)
Вакансия 7 К. .",Л-550,"История России (Лекционные)
Вакансия 7 К. .",Л-550,"История России (Лекционные)
Вакансия 7 К. .",Л-550,"Вычислительные машины, сети и системы (Лекционные)
",К-311,"Вычислительные машины, сети и системы (Лекционные)
",К-311,"Вычислительные машины, сети и системы (Лекционные)
",К-311,"Вычислительные машины, сети и системы (Лекционные)
",К-311,"Вычислительные машины, сети и системы (Лекционные)
",К-311,"Вычислительные машины, сети и системы (Лекционные)
",К-311,"Вычислительные машины, сети и системы (Лекционные)
",К-311,"Вычислительные машины, сети и системы (Лекционные)
",К-311
